Brasil-Oitavas-Quartas-Semi-Final-Campeão,0.3406
Brasil-Oitavas-Quartas-Semi-Final-Eliminado,0.1354
Brasil-Oitavas-Quartas-Semi-Eliminado,0.1566
Brasil-Oitavas-Quartas-Eliminado,0.1558
Brasil-Oitavas-Eliminado,0.1714
Brasil-Eliminado,0.0402
Alemanha-Oitavas-Quartas-Semi-Final-Campeão,0.1716
Alemanha-Oitavas-Quartas-Semi-Final-Eliminado,0.1484
Alemanha-Oitavas-Quartas-Semi-Eliminado,0.1639
Alemanha-Oitavas-Quartas-Eliminado,0.156
Alemanha-Oitavas-Eliminado,0.2562
Alemanha-Eliminado,0.1039
França-Oitavas-Quartas-Semi-Final-Campeão,0.1113
França-Oitavas-Quartas-Semi-Final-Eliminado,0.1003
França-Oitavas-Quartas-Semi-Eliminado,0.2352
França-Oitavas-Quartas-Eliminado,0.2297
França-Oitavas-Eliminado,0.2394
França-Eliminado,0.0841
Argentina-Oitavas-Quartas-Semi-Final-Campeão,0.1092
Argentina-Oitavas-Quartas-Semi-Final-Eliminado,0.1252
Argentina-Oitavas-Quartas-Semi-Eliminado,0.1982
Argentina-Oitavas-Quartas-Eliminado,0.2311
Argentina-Oitavas-Eliminado,0.2498
Argentina-Eliminado,0.0865
Espanha-Oitavas-Quartas-Semi-Final-Campeão,0.0916
Espanha-Oitavas-Quartas-Semi-Final-Eliminado,0.1
Espanha-Oitavas-Quartas-Semi-Eliminado,0.1885
Espanha-Oitavas-Quartas-Eliminado,0.2593
Espanha-Oitavas-Eliminado,0.1838
Espanha-Eliminado,0.1768
Inglaterra-Oitavas-Quartas-Semi-Final-Campeão,0.0476
Inglaterra-Oitavas-Quartas-Semi-Final-Eliminado,0.077
Inglaterra-Oitavas-Quartas-Semi-Eliminado,0.1327
Inglaterra-Oitavas-Quartas-Eliminado,0.381
Inglaterra-Oitavas-Eliminado,0.2679
Inglaterra-Eliminado,0.0938
Portugal-Oitavas-Quartas-Semi-Final-Campeão,0.0394
Portugal-Oitavas-Quartas-Semi-Final-Eliminado,0.0716
Portugal-Oitavas-Quartas-Semi-Eliminado,0.16
Portugal-Oitavas-Quartas-Eliminado,0.2955
Portugal-Oitavas-Eliminado,0.2273
Portugal-Eliminado,0.2062
Bélgica-Oitavas-Quartas-Semi-Final-Campeão,0.0355
Bélgica-Oitavas-Quartas-Semi-Final-Eliminado,0.0667
Bélgica-Oitavas-Quartas-Semi-Eliminado,0.1233
Bélgica-Oitavas-Quartas-Eliminado,0.3825
Bélgica-Oitavas-Eliminado,0.2835
Bélgica-Eliminado,0.1085
Uruguai-Oitavas-Quartas-Semi-Final-Campeão,0.0148
Uruguai-Oitavas-Quartas-Semi-Final-Eliminado,0.0382
Uruguai-Oitavas-Quartas-Semi-Eliminado,0.1224
Uruguai-Oitavas-Quartas-Eliminado,0.2442
Uruguai-Oitavas-Eliminado,0.5448
Uruguai-Eliminado,0.0356
Colômbia-Oitavas-Quartas-Semi-Final-Campeão,0.0144
Colômbia-Oitavas-Quartas-Semi-Final-Eliminado,0.0344
Colômbia-Oitavas-Quartas-Semi-Eliminado,0.0796
Colômbia-Oitavas-Quartas-Eliminado,0.2464
Colômbia-Oitavas-Eliminado,0.4459
Colômbia-Eliminado,0.1793
Polônia-Oitavas-Quartas-Semi-Final-Campeão,0.0054
Polônia-Oitavas-Quartas-Semi-Final-Eliminado,0.0132
Polônia-Oitavas-Quartas-Semi-Eliminado,0.0487
Polônia-Oitavas-Quartas-Eliminado,0.1851
