Brasil-Oitavas-Quartas-Semi-Final-Campeão,0.3405
Brasil-Oitavas-Quartas-Semi-Final-Eliminado,0.0993
Brasil-Oitavas-Quartas-Semi-Eliminado,0.1333
Brasil-Oitavas-Quartas-Eliminado,0.1314
Brasil-Oitavas-Eliminado,0.1908
Brasil-Eliminado,0.1047
Espanha-Oitavas-Quartas-Semi-Final-Campeão,0.1513
Espanha-Oitavas-Quartas-Semi-Final-Eliminado,0.1152
Espanha-Oitavas-Quartas-Semi-Eliminado,0.1803
Espanha-Oitavas-Quartas-Eliminado,0.2015
Espanha-Oitavas-Eliminado,0.1798
Espanha-Eliminado,0.1719
França-Oitavas-Quartas-Semi-Final-Campeão,0.0866
França-Oitavas-Quartas-Semi-Final-Eliminado,0.0896
França-Oitavas-Quartas-Semi-Eliminado,0.1722
França-Oitavas-Quartas-Eliminado,0.2622
França-Oitavas-Eliminado,0.2936
França-Eliminado,0.0958
Alemanha-Oitavas-Quartas-Semi-Final-Campeão,0.085
Alemanha-Oitavas-Quartas-Semi-Final-Eliminado,0.0758
Alemanha-Oitavas-Quartas-Semi-Eliminado,0.0994
Alemanha-Oitavas-Quartas-Eliminado,0.1164
Alemanha-Oitavas-Eliminado,0.3353
Alemanha-Eliminado,0.2881
Portugal-Oitavas-Quartas-Semi-Final-Campeão,0.0665
Portugal-Oitavas-Quartas-Semi-Final-Eliminado,0.0966
Portugal-Oitavas-Quartas-Semi-Eliminado,0.1807
Portugal-Oitavas-Quartas-Eliminado,0.232
Portugal-Oitavas-Eliminado,0.2216
Portugal-Eliminado,0.2026
Argentina-Oitavas-Quartas-Semi-Final-Campeão,0.0584
Argentina-Oitavas-Quartas-Semi-Final-Eliminado,0.0778
Argentina-Oitavas-Quartas-Semi-Eliminado,0.1413
Argentina-Oitavas-Quartas-Eliminado,0.2342
Argentina-Oitavas-Eliminado,0.2703
Argentina-Eliminado,0.218
Inglaterra-Oitavas-Quartas-Semi-Final-Campeão,0.0536
Inglaterra-Oitavas-Quartas-Semi-Final-Eliminado,0.0829
Inglaterra-Oitavas-Quartas-Semi-Eliminado,0.1453
Inglaterra-Oitavas-Quartas-Eliminado,0.3404
Inglaterra-Oitavas-Eliminado,0.3183
Inglaterra-Eliminado,0.0595
Bélgica-Oitavas-Quartas-Semi-Final-Campeão,0.0419
Bélgica-Oitavas-Quartas-Semi-Final-Eliminado,0.0742
Bélgica-Oitavas-Quartas-Semi-Eliminado,0.1365
Bélgica-Oitavas-Quartas-Eliminado,0.3828
Bélgica-Oitavas-Eliminado,0.3221
Bélgica-Eliminado,0.0425
Uruguai-Oitavas-Quartas-Semi-Final-Campeão,0.0274
Uruguai-Oitavas-Quartas-Semi-Final-Eliminado,0.0477
Uruguai-Oitavas-Quartas-Semi-Eliminado,0.1218
Uruguai-Oitavas-Quartas-Eliminado,0.2111
Uruguai-Oitavas-Eliminado,0.5587
Uruguai-Eliminado,0.0333
Colômbia-Oitavas-Quartas-Semi-Final-Campeão,0.0211
Colômbia-Oitavas-Quartas-Semi-Final-Eliminado,0.0449
Colômbia-Oitavas-Quartas-Semi-Eliminado,0.0948
Colômbia-Oitavas-Quartas-Eliminado,0.2189
Colômbia-Oitavas-Eliminado,0.4464
Colômbia-Eliminado,0.1739
México-Oitavas-Quartas-Semi-Final-Campeão,0.0197
México-Oitavas-Quartas-Semi-Final-Eliminado,0.0548
México-Oitavas-Quartas-Semi-Eliminado,0.135
México-Oitavas-Quartas-Eliminado,0.235
México-Oitavas-Eliminado,0.4624
México-Eliminado,0.0931
Croácia-Oitavas-Quartas-Semi-Final-Campeão,0.0153
Croácia-Oitavas-Quartas-Semi-Final-Eliminado,0.0411
Croácia-Oitavas-Quartas-Semi-Eliminado,0.0944
Croácia-Oitavas-Quartas-Eliminado,0.2418
Croácia-Oitavas-Eliminado,0.4153
Croácia-Eliminado,0.1921
